import time: self [us] | cumulative | imported package
import time:   1519151 |    5072238 |                       django.db.models.query_utils
import time:   1180300 |   71776143 |                     django.db.models.fields
import time:   1997656 |    1997656 |                     django.db.models.enums
import time:   1704553 |   75481610 |                   django.db.models.expressions
import time:    979402 |     979402 |                     django.db.models.functions.comparison
import time:   2871636 |    2871636 |                       django.db.models.lookups
import time:   1990993 |    4862629 |                     django.db.models.functions.datetime
import time:   2182818 |    2182818 |                         django.db.models.fields.mixins
import time:   1568421 |    3751238 |                       django.db.models.fields.json
import time:    900733 |    4651971 |                     django.db.models.functions.json
import time:   2249177 |    2249177 |                       django.db.models.functions.mixins
import time:   1482481 |    3731657 |                     django.db.models.functions.math
import time:   1614310 |    1614310 |                     django.db.models.functions.text
import time:   1408214 |    1408214 |                     django.db.models.functions.window
import time:   1448485 |   18696666 |                   django.db.models.functions
import time:   1891984 |   96070260 |                 django.db.models.aggregates
import time:   1387080 |    1387080 |                       django.db.backends
import time:   1556065 |    2943144 |                     django.db.backends.utils
import time:   1307727 |    1307727 |                         django.db.models.sql.constants
import time:   1431103 |    1431103 |                         django.db.models.sql.datastructures
import time:   1591859 |    1591859 |                         django.db.models.sql.where
import time:   1527980 |    5858668 |                       django.db.models.sql.query
import time:   1263095 |    1263095 |                       django.db.models.sql.subqueries
import time:   1477377 |    8599139 |                     django.db.models.sql
import time:   1455352 |   12997634 |                   django.db.models.indexes
import time:   1586905 |   14584538 |                 django.db.models.constraints
import time:   1525077 |    1525077 |                 django.db.models.deletion
import time:   1699148 |    1699148 |                   django.db.models.fields.tuple_lookups
import time:   1687350 |    3386498 |                 django.db.models.fields.composite
import time:   1369515 |    1369515 |                   django.core.files.images
import time:   1302758 |    1302758 |                     django.core.files.storage.base
import time:   1731362 |    1731362 |                       django.core.files.storage.mixins
import time:   1283562 |    3014923 |                     django.core.files.storage.filesystem
import time:   1476348 |    1476348 |                     django.core.files.storage.handler
import time:   2407572 |    2407572 |                     django.core.files.storage.memory
import time:   1432443 |    9634042 |                   django.core.files.storage
