import time: self [us] | cumulative | imported package
import time:   1437635 |    1437635 | django.contrib.contenttypes.forms
import time:   1493180 |    1493180 | rest_framework.checks
import time:   1531406 |    1531406 | django.core.management.utils
import time:   1497759 |    1497759 |   django.db.migrations.optimizer
import time:   2519063 |    2519063 |       django.db.migrations.graph
import time:   1548193 |    1548193 |       django.db.migrations.recorder
import time:   1317055 |    5384310 |     django.db.migrations.loader
import time:   1431472 |    6815782 |   django.db.migrations.questioner
import time:   2223130 |   10536670 | django.db.migrations.autodetector
import time:   1397152 |    1397152 |   django.db.migrations.serializer
import time:   1397016 |    2794167 | django.db.migrations.writer
import time:   1517089 |    1517089 | django.core.management.sql
import time:   1778983 |    1778983 | django.db.migrations.executor
import time:   1553795 |    1553795 | django.contrib.contenttypes.views
import time:   1502350 |    1502350 |       rest_framework.status
import time:   1409302 |    1409302 |         rest_framework.utils
import time:   1331954 |    1331954 |         rest_framework.utils.json
import time:   1517193 |    4258448 |       rest_framework.utils.serializer_helpers
import time:   1426426 |    7187224 |     rest_framework.exceptions
import time:   1748293 |    1748293 |       rest_framework.settings
import time:   1507083 |    3255375 |     rest_framework.request
import time:   2442507 |    2442507 |           django.contrib.postgres
import time:   1462010 |    1462010 |                     django.db.backends.postgresql
import time:       355 |        355 |                     psycopg
import time:       104 |        104 |                     psycopg2
import time:   1794953 |    3257422 |                   django.db.backends.postgresql.psycopg_any
import time:   1432970 |    4690391 |                 django.contrib.postgres.search
import time:   1285813 |    5976204 |               django.contrib.postgres.lookups
import time:   1537454 |    7513657 |             django.contrib.postgres.fields.array
import time:   1417977 |    8931633 |           django.contrib.postgres.fields
import time:       129 |        129 |           coreapi
import time:       128 |        128 |           uritemplate
import time:        93 |         93 |           coreschema
import time:        91 |         91 |           yaml
import time:        91 |         91 |           inflection
import time:   1354126 |    1354126 |               urllib3.exceptions
import time:   2434837 |    2434837 |                       urllib3.util.timeout
import time:   1321145 |    3755982 |                     urllib3.util.connection
import time:   1340106 |    1340106 |                       urllib3.util.util
import time:       813 |        813 |                       brotlicffi
import time:       796 |        796 |                       brotli
import time:       321 |        321 |                       backports
import time:   1698359 |    3040395 |                     urllib3.util.request
import time:   1528388 |    1528388 |                     urllib3.util.response
import time:   1441065 |    1441065 |                     urllib3.util.retry
import time:   1400250 |    1400250 |                       urllib3.util.url
import time:   1338021 |    1338021 |                       urllib3.util.ssltransport
import time:   1471099 |    4209369 |                     urllib3.util.ssl_
import time:   1744077 |    1744077 |                     urllib3.util.wait
import time:   1550148 |   17269421 |                   urllib3.util
